Disease,Symptoms,Type
Muscular Dystrophy,"frequent falls, muscle weakness, walking difficulty",Critical
Myasthenia Gravis,"muscle weakness, drooping eyelids, double vision",Serious
Urticaria (Hives),raised itchy welts,Normal
Trichinosis,fever,Serious
Erectile Dysfunction,"difficulty maintaining erection, low libido",Normal
Hernia,"bulge in abdomen, pain while lifting, pressure",Normal
Excessive Sweating,"damp palms, uncontrolled sweating",Normal
Melanoma,"mole changes, itching, dark spots, bleeding",Critical
Flat Warts,smooth small skin-colored warts,Normal
Polyarteritis Nodosa,"joint pain, fever, skin sores",Serious
Paget's Disease of Bone,"fractures, hearing loss, bone pain",Serious
PMS,"breast tenderness, mood swings",Normal
Klinefelter Syndrome,"tall stature, small testes",Serious
Tularemia,"fever, swollen glands, skin ulcers",Serious
Neck Pain,"neck stiffness, headaches, pain",Normal
Turner Syndrome,"heart defects, short stature",Serious
Substance Abuse Disorder,addiction,Serious
Corns,hard thickened skin on toes,Normal
Chikungunya,"fever, joint pain, fatigue, rash",Serious
Ganglion Cyst,"lump on wrist or hand, pain",Normal
Infertility,"inability to conceive, irregular cycles",Serious
OCD,"repetitive thoughts, compulsions",Normal
Bell's Palsy,facial weakness,Normal
Stye,"swelling, red lump on eyelid, pain",Normal
Erythema Multiforme,target-like skin lesions,Normal
Pellagra,"dermatitis, diarrhea, dementia",Serious
Nosebleed,bleeding from nostrils,Normal
Epiglottitis,severe sore throat,Critical
Sleepwalking,"walking while asleep, no memory",Normal
Kawasaki Disease,"red eyes, swelling, rash",Serious
Prostate Cancer,"difficulty urinating, pelvic pain, blood in semen",Critical
PCOS,"acne, irregular periods, hair growth, weight gain",Normal
Ascariasis,"abdominal pain, cough, worms in stool",Serious
Guillain-Barre Syndrome,"paralysis, weakness, tingling",Critical
Pemphigus Vulgaris,blisters in mouth and skin,Serious
Myopathy,"fatigue, pain, muscle weakness",Serious
Kidney Failure,decreased urination,Critical
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Folliculitis,small red bumps at hair follicles,Normal
Plantar Fasciitis,heel pain,Normal
Varicocele,swollen veins in the scrotum,Normal
Restless Legs Syndrome,"crawling sensation, urge to move legs",Normal
Vitamin B12 Deficiency,"tongue soreness, tingling",Normal
Hyperthyroidism,"weight loss, sweating, palpitations",Serious
Alzheimer's Disease,"difficulty thinking, confusion, memory loss",Critical
Rosacea,"facial redness, visible blood vessels",Normal
Reiter's Syndrome,"eye inflammation, joint pain",Serious
Thalassemia,"fatigue, pale skin, weakness",Serious
Typhoid,"weakness, prolonged fever, abdominal pain",Serious
Insect Bite,"red bump, swelling",Normal
Atherosclerosis,numbness,Serious
Vertigo,"nausea, spinning sensation, dizziness, balance issues",Normal
Boils,painful lumps,Normal
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Venous Ulcers,open sores on lower legs,Serious
Tonsillitis,"fever, swollen tonsils, sore throat",Normal
Ichthyosis Vulgaris,"dry, scaly skin like fish scales",Normal
Buruli Ulcer,large painless skin ulcer,Serious
Hyperthyroidism,"weight loss, palpitations, anxiety",Serious
Migraine,"nausea, vomiting, severe headache, light sensitivity",Normal
Rotavirus,"watery diarrhea, vomiting, fever",Normal
"Hand, Foot, and Mouth",blisters in mouth and extremities,Normal
Contact Dermatitis,itchy rash from substance contact,Normal
Tularemia,"fever, swollen glands",Serious
Pericarditis,"chest pain, weakness, palpitations",Serious
Cat Scratch Disease,"bump at site, swollen nodes",Normal
Torticollis,"twisted neck, head tilted to side",Normal
Psoriasis,"scaly skin, redness, plaques, itching",Normal
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Myasthenia Gravis,"drooping eyelids, muscle weakness, double vision",Serious
Tendonitis,swelling,Normal
Schizophrenia,"delusions, hallucinations, confusion",Critical
Anthrax,"skin sores, breathing issues, fever",Critical
Chapped Lips,"cracked, dry",Normal
Dengue,"rash, fever, joint pain, headache",Serious
Pneumonia,cough,Serious
Conjunctivitis (Pink Eye),discharge,Normal
Addison's Disease,"weight loss, extreme fatigue",Serious
Ebola Virus,"muscle pain, bleeding, weakness",Critical
Phimosis,"tight foreskin, difficulty retracting",Normal
Glanders,"chest pain, fever, muscle aches",Serious
Frostbite,"numbness, white/blue skin",Serious
Kidney Cancer,"weight loss, blood in urine, back pain",Critical
Necrotizing Fasciitis,"redness, intense pain",Critical
Callus,thickened skin from friction,Normal
Athlete's Foot,scaling,Normal
Back Pain,"lower back pain, stiffness, muscle ache",Normal
Goiter,"difficulty swallowing, neck swelling, hoarseness",Normal
Poison Ivy Rash,"redness, itching",Normal
Tetanus,jaw locking,Critical
Herpes Simplex Type 1,cold sores around mouth,Normal
Obesity,"weight gain, joint pain, breathlessness",Normal
Narcissistic Personality,"need for admiration, lack of empathy",Serious
Sleeping Sickness,"joint pain, sleep disruption",Critical
Spina Bifida Occulta,"small gap in spine, skin tuft",Normal
Influenza,"chills, high fever, headache, fatigue, body ache",Normal
Liver Cancer,"abdominal pain, weight loss, fatigue, jaundice",Critical
Constipation,"difficulty passing stool, bloating, abdominal pain",Normal
Perioral Dermatitis,small red bumps around mouth,Normal
Balanitis,"swelling, redness of the penis tip",Normal
Schizophrenia,hallucinations,Critical
Dyslexia,"spelling issues, difficulty reading",Normal
Parkinson's Disease,"slow movement, tremors, stiffness",Critical
Neuropathy,weakness,Serious
Genital Warts,small bumps in genital area,Serious
Angioedema,deep swelling under skin,Serious
Reiter's Syndrome,"urethritis, eye inflammation, joint pain",Serious
Rickets,"delayed growth, bone pain",Serious
Diabetes,"blurred vision, increased thirst, fatigue, frequent urination",Serious
Giant Cell Arteritis,"headache, vision issues, jaw pain",Serious
Constipation,"difficulty passing stool, bloating, abdominal pain",Normal
Pulmonary Embolism,"cough, sudden chest pain, dizziness, breathlessness",Critical
Aphasia,difficulty speaking or understanding,Serious
Excessive Sweating,"damp palms, uncontrolled sweating",Normal
Carbuncles,cluster of boils,Serious
Sebaceous Cyst,slow-growing bump under skin,Normal
Peripheral Artery Disease,"cold limbs, weakness, leg pain, numbness",Serious
Abscessed Tooth,"swelling, severe toothache",Serious
Keratosis Pilaris,small rough bumps on arms/thighs,Normal
SARS,"difficulty breathing, cough, high fever",Critical
Heat Rash,"small red bumps, prickly sensation",Normal
Sepsis,"fever, high heart rate, shivering",Critical
Giant Cell Arteritis,"jaw pain, headache, vision issues",Serious
Osteoarthritis,stiffness,Normal
Turner Syndrome,heart defects,Serious
Herpes Simplex Type 2,"itching, genital sores",Serious
Heat Rash,"small red bumps, prickly sensation",Normal
Hiatal Hernia,"heartburn, difficulty swallowing, chest pain",Serious
Buerger's Disease,"skin ulcers, pain in hands/feet",Serious
Infectious Mononucleosis,fatigue,Normal
Dermatitis,"itching, swelling, rash, redness",Normal
Erythema Infectiosum,slapped cheek rash,Normal
Melioidosis,"chest pain, fever, cough",Serious
Tinnitus,"clicking, ringing in ears, buzzing",Normal
Vibriosis,"abdominal cramps, watery diarrhea",Normal
Sciatica,"numbness, lower back pain, leg pain",Normal
Heat Stroke,"rapid pulse, confusion, high body temp",Critical
Bronchitis,"chest discomfort, persistent cough, fatigue, mucus, wheezing",Normal
Gas Gangrene,"swelling, severe pain, gas in tissue",Critical
Typhoid,"prolonged fever, weakness",Serious
Pinworms,"restless sleep, itching around anus",Normal
Hammer Toe,toe bent at middle joint,Normal
Dermatitis,"swelling, itching, rash, redness",Normal
Pinworms,"itching around anus, restless sleep",Normal
Brucellosis,"fatigue, joint pain, fever",Serious
Candidiasis,yeast infection symptoms,Normal
Turner Syndrome,"heart defects, short stature",Serious
Pediculosis (Lice),"nits in hair, itching",Normal
Diphtheria,"fever, thick gray coating in throat",Critical
Rotator Cuff Tear,"pain lifting arm, shoulder weakness",Normal
Bunions,bony bump at base of big toe,Normal
Lymphoma,"night sweats, fatigue, swollen lymph nodes",Critical
Corneal Abrasion,"redness, eye pain, feeling of grit",Serious
Leukemia,"fatigue, easy bleeding, fever, infections",Critical
Endometriosis,"pelvic pain, painful periods",Serious
Scoliosis,"curved spine, back pain, uneven shoulders",Serious
Rheumatic Fever,chest pain,Serious
Narcolepsy,"sudden muscle weakness, excessive daytime sleepiness",Serious
Fragile X Syndrome,"developmental delays, learning disabilities",Serious
Sciatica,"numbness, lower back pain, tingling, leg pain",Normal
Molluscum Contagiosum,small firm bumps with dimples,Normal
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Lichen Sclerosus,white thin skin in genital area,Normal
Hepatitis C,"jaundice, loss of appetite, fatigue",Serious
Lice,"visible bugs, itching on scalp",Normal
Spider Bite,"swelling, two puncture marks",Normal
River Blindness,"vision loss, severe itching",Serious
Spinal Stenosis,"leg numbness while walking, back pain",Serious
Myopia,difficulty seeing far objects,Normal
Skin Tags,small flesh-colored growths,Normal
Crohn's Disease,diarrhea,Serious
Pinta,discolored skin patches,Normal
Dementia,"confusion, memory loss",Serious
Lordosis,excessive inward curve of lower back,Normal
Diarrhea,"loose stools, urgency",Normal
Schistosomiasis,"abdominal pain, blood in urine/stool",Serious
Beriberi,"shortness of breath, limb pain, weakness",Serious
Hypoglycemia,confusion,Serious
Sleeping Sickness,"fever, sleep disruption",Critical
Malaria,"headache, sweating, high fever",Serious
Bee Sting,"swelling, sharp pain",Normal
HIV/AIDS,fatigue,Critical
Dracunculiasis (Guinea Worm),"painful blister, worm emergence",Serious
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Scarlet Fever,"strawberry tongue, sore throat, red rash",Serious
COPD,"breathlessness, fatigue, wheezing, chronic cough, mucus",Serious
Huntington's Disease,"cognitive decline, involuntary movements",Critical
Acanthosis Nigricans,dark velvety skin in folds,Normal
Cushing Syndrome,"weight gain, fatigue, muscle weakness",Serious
Rotator Cuff Tear,"shoulder weakness, pain lifting arm",Normal
SARS,"difficulty breathing, high fever",Critical
Inguinal Hernia,"pain while coughing, bulge in the groin",Serious
Lichen Sclerosus,white thin skin in genital area,Normal
Pellagra,dementia,Serious
RSV,"wheezing, runny nose, cough, fever",Normal
Candidiasis,yeast infection symptoms,Normal
Plantar Fasciitis,"heel pain, stiffness in morning",Normal
Eating Disorder,weakness,Serious
Inguinal Hernia,"bulge in the groin, pain while coughing",Serious
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Kidney Stones,"nausea, blood in urine",Serious
Hepatitis B,"dark urine, abdominal pain, yellow eyes",Serious
Skin Cancer,"lesions, abnormal growth, bleeding",Critical
Diabetic Ulcers,painless sores on feet,Serious
Lactose Intolerance,"gas, bloating, diarrhea after dairy",Normal
Ovarian Cysts,"bloating, irregular periods, pelvic pain",Serious
Type 1 Diabetes,"frequent urination, weight loss",Serious
Asthma,"shortness of breath, chest tightness, wheezing, coughing, fatigue",Serious
Erythema Nodosum,painful red lumps on shins,Serious
Intertrigo,rash in skin folds,Normal
Folliculitis,small red bumps at hair follicles,Normal
Hantavirus,"muscle aches, fever, shortness of breath",Critical
Peripheral Artery Disease,"leg pain, weakness, cold limbs",Serious
Herpes Simplex Type 2,"itching, genital sores",Serious
Bee Sting,"sharp pain, redness",Normal
Pemphigus Vulgaris,blisters in mouth and skin,Serious
Hepatitis B,"yellow eyes, abdominal pain",Serious
Rubella,swollen nodes,Normal
Excessive Sweating,"damp palms, uncontrolled sweating",Normal
Hernia,"pain while lifting, pressure",Normal
Hypertrichosis,excessive hair growth anywhere,Normal
Phenylketonuria,"skin rash, tremors, musty breath",Serious
Celiac Disease,"bloating, diarrhea, fatigue",Serious
Xerosis (Dry Skin),"rough, flaky skin",Normal
Acromegaly,"enlarged hands, facial changes, fatigue",Serious
Ascariasis,"cough, abdominal pain, worms in stool",Serious
Balanitis,"redness of the penis tip, swelling",Normal
Migraine,"severe headache, light sensitivity, nausea, vomiting",Normal
Polio,"paralysis, fever, muscle weakness",Critical
Lice,"visible bugs, itching on scalp",Normal
Alopecia Areata,"smooth scalp, patchy hair loss",Normal
Diphtheria,"thick gray coating in throat, fever",Critical
Pitted Keratolysis,small pits on soles of feet,Normal
Pericarditis,"fever, palpitations, weakness, chest pain",Serious
Dissociative Identity,presence of multiple personalities,Serious
Klinefelter Syndrome,"tall stature, small testes",Serious
Contact Dermatitis,itchy rash from substance contact,Normal
Ebola Virus,"weakness, fever, muscle pain, bleeding",Critical
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Brucellosis,"joint pain, fatigue, fever",Serious
Heat Rash,"prickly sensation, small red bumps",Normal
COVID-19,"loss of taste, cough, fever, shortness of breath, fatigue",Serious
Hammer Toe,toe bent at middle joint,Normal
Endocarditis,chills,Serious
Tooth Decay,black spots,Normal
Fatty Liver Disease,"pain in upper right abdomen, fatigue",Serious
Botulism,"double vision, drooping eyelids",Critical
Gout,"swelling, tenderness, joint pain",Normal
Sebaceous Cyst,slow-growing bump under skin,Normal
Ear Infection,"ear pain, hearing loss",Normal
Hydatid Disease,"cysts in liver or lungs, pain",Serious
Nummular Eczema,coin-shaped itchy skin patches,Normal
Angina,"shortness of breath, pressure, fatigue, chest pain",Serious
Hives,"skin redness, swelling, itchy welts",Normal
Gallbladder Attack,"nausea, severe upper right pain",Serious
Epiglottitis,"drooling, severe sore throat, difficulty breathing",Critical
Bullous Pemphigoid,large firm skin blisters,Serious
Kawasaki Disease,"swelling, red eyes, rash",Serious
Cytomegalovirus Infection,"fatigue, body aches, fever",Serious
Encephalitis,"confusion, fever, seizures",Critical
Down Syndrome,"distinct facial features, delayed development",Serious
Influenza,"high fever, cough, fatigue, body ache, chills, headache",Normal
Skin Cancer,"lesions, bleeding",Critical
Dermatographism,raised marks after scratching skin,Normal
Meningitis,"headache, fever, sensitivity to light, stiff neck",Critical
Ichthyosis Vulgaris,"scaly skin like fish scales, dry",Normal
Scurvy,"bruising, weakness, bleeding gums",Serious
Aortic Aneurysm,"shortness of breath, chest pain, back pain",Critical
Bunions,bony bump at base of big toe,Normal
